"s1c2d1_22.5mg - RawData"
"Wavelength nm.","Abs."
595.00,0.038
596.00,0.037
597.00,0.037
598.00,0.036
599.00,0.037
600.00,0.036
601.00,0.037
602.00,0.037
603.00,0.037
604.00,0.036
605.00,0.036
606.00,0.036
607.00,0.037
608.00,0.037
609.00,0.036
610.00,0.037
611.00,0.036
612.00,0.037
613.00,0.037
614.00,0.038
615.00,0.038
616.00,0.038
617.00,0.036
618.00,0.036
619.00,0.036
620.00,0.036
621.00,0.037
622.00,0.037
623.00,0.037
624.00,0.036
625.00,0.036
626.00,0.035
627.00,0.036
628.00,0.036
629.00,0.034
630.00,0.033
631.00,0.033
632.00,0.034
633.00,0.033
634.00,0.033
635.00,0.034
636.00,0.034
637.00,0.034
638.00,0.035
639.00,0.034
640.00,0.033
641.00,0.032
642.00,0.032
643.00,0.032
644.00,0.032
645.00,0.032
646.00,0.032
647.00,0.032
648.00,0.032
649.00,0.034
650.00,0.034
651.00,0.034
652.00,0.032
653.00,0.031
654.00,0.029
655.00,0.029
656.00,0.030
657.00,0.029
658.00,0.029
659.00,0.028
660.00,0.027
661.00,0.026
662.00,0.026
663.00,0.027
664.00,0.028
665.00,0.029
666.00,0.030
667.00,0.031
668.00,0.033
669.00,0.035
670.00,0.036
671.00,0.035
672.00,0.034
673.00,0.033
674.00,0.033
675.00,0.033
676.00,0.032
677.00,0.030
678.00,0.029
679.00,0.027
680.00,0.027
681.00,0.025
682.00,0.026
683.00,0.026
684.00,0.027
685.00,0.026
686.00,0.024
687.00,0.024
688.00,0.024
689.00,0.025
690.00,0.025
691.00,0.026
692.00,0.024
693.00,0.023
694.00,0.023
695.00,0.025
696.00,0.025
697.00,0.024
698.00,0.023
699.00,0.023
700.00,0.023
701.00,0.023
702.00,0.022
703.00,0.021
704.00,0.019
705.00,0.018
706.00,0.017
707.00,0.018
708.00,0.017
709.00,0.017
710.00,0.016
711.00,0.016
712.00,0.017
713.00,0.017
714.00,0.018
715.00,0.018
716.00,0.020
717.00,0.018
718.00,0.017
719.00,0.017
720.00,0.026
721.00,0.035
722.00,0.042
723.00,0.041
724.00,0.040
725.00,0.040
726.00,0.038
727.00,0.037
728.00,0.038
729.00,0.038
730.00,0.039
731.00,0.037
732.00,0.038
733.00,0.037
734.00,0.038
735.00,0.037
736.00,0.037
737.00,0.037
738.00,0.036
739.00,0.036
740.00,0.037
741.00,0.037
742.00,0.037
743.00,0.034
744.00,0.035
745.00,0.035
746.00,0.036
747.00,0.035
748.00,0.035
749.00,0.034
750.00,0.034
751.00,0.033
752.00,0.033
753.00,0.031
754.00,0.030
755.00,0.030
756.00,0.032
757.00,0.033
758.00,0.032
759.00,0.032
760.00,0.032
761.00,0.033
762.00,0.033
763.00,0.032
764.00,0.031
765.00,0.029
766.00,0.029
767.00,0.029
768.00,0.030
769.00,0.030
770.00,0.028
771.00,0.028
772.00,0.028
773.00,0.030
774.00,0.029
775.00,0.029
776.00,0.027
777.00,0.027
778.00,0.026
779.00,0.026
780.00,0.025
781.00,0.024
782.00,0.024
783.00,0.023
784.00,0.023
785.00,0.022
786.00,0.024
787.00,0.024
788.00,0.023
789.00,0.024
790.00,0.024
791.00,0.024
792.00,0.023
793.00,0.023
794.00,0.022
795.00,0.022
796.00,0.018
797.00,0.019
798.00,0.019
799.00,0.023
800.00,0.023
